id	title	price_pc	link	image_link	category_name1	category_name2	category_name3	category_name4	shipping 
37	대한제분 코끼리 강력 밀가루 제과제빵용 20kg 1등급	20800	http://www.bakerys24.com/b1?view=37	http://www.bakerys24.com/static/image/products/b1/b137.jpg	식품	가공식품	밀가루	null	2500
38	맥선 박력1등 밀가루 20kg - 제빵전용분	15900	http://www.bakerys24.com/b1?view=38	http://www.bakerys24.com/static/image/products/b1/b138.jpg	식품	가공식품	밀가루	null	2500
39	맥선 유기농 박력 1등 밀가루 20kg	40500	http://www.bakerys24.com/b1?view=39	http://www.bakerys24.com/static/image/products/b1/b139.jpg	식품	가공식품	밀가루	null	2500
40	큐원 박력밀가루 20kg	21100	http://www.bakerys24.com/b1?view=40	http://www.bakerys24.com/static/image/products/b1/b140.jpg	식품	가공식품	밀가루	null	2500
41	대한제분 암소 박력 밀가루 다목적용 20kg 1등급	19800	http://www.bakerys24.com/b1?view=41	http://www.bakerys24.com/static/image/products/b1/b141.jpg	식품	가공식품	밀가루	null	2500
42	서울식품 블루베리멀티믹스(1kg)	7800	http://www.bakerys24.com/a3?view=42	http://www.bakerys24.com/static/image/products/a3/a342.jpg	식품	가공식품	빵	null	2500
43	서울식품 초코멀티믹스(1kg) / 머핀반죽,와플,마들렌	7800	http://www.bakerys24.com/a3?view=43	http://www.bakerys24.com/static/image/products/a3/a343.jpg	식품	가공식품	빵	null	2500
44	서울식품 플레인멀티믹스(1kg) / 머핀반죽,와플,마들렌	7800	http://www.bakerys24.com/a3?view=44	http://www.bakerys24.com/static/image/products/a3/a344.jpg	식품	가공식품	빵	null	2500
45	서울식품 치즈멀티믹스(1kg) / 머핀반죽,와플,마들렌	7800	http://www.bakerys24.com/a3?view=45	http://www.bakerys24.com/static/image/products/a3/a345.jpg	식품	가공식품	빵	null	2500
46	서울식품 초코칩쿠키(대) (40gx25개)	13100	http://www.bakerys24.com/a4?view=46	http://www.bakerys24.com/static/image/products/a4/a446.jpg	식품	과자	쿠키	null	2500
47	서울식품 아몬드쿠키(대) (40gx25개)	13100	http://www.bakerys24.com/a4?view=47	http://www.bakerys24.com/static/image/products/a4/a447.jpg	식품	과자	쿠키	null	2500
48	서울식품 치즈쿠키(대) (40gx25개)	13100	http://www.bakerys24.com/a4?view=48	http://www.bakerys24.com/static/image/products/a4/a448.jpg	식품	과자	쿠키	null	2500
49	서울식품 피넛버터쿠키(대) (40gx25개)	13100	http://www.bakerys24.com/a4?view=49	http://www.bakerys24.com/static/image/products/a4/a449.jpg	식품	과자	쿠키	null	2500
50	서울식품 new 초코쿠키(대) (40gx25개)	13100	http://www.bakerys24.com/a4?view=50	http://www.bakerys24.com/static/image/products/a4/a450.jpg	식품	과자	쿠키	null	2500
51	서울식품 미니초코칩쿠키 (18Gx50개)	14600	http://www.bakerys24.com/a4?view=51	http://www.bakerys24.com/static/image/products/a4/a451.jpg	식품	과자	쿠키	null	2500
52	서울식품 미니아몬드쿠키 (18Gx50개)	14600	http://www.bakerys24.com/a4?view=52	http://www.bakerys24.com/static/image/products/a4/a452.jpg	식품	과자	쿠키	null	2500
53	서울식품 미니치즈쿠키 (18Gx50개)	14600	http://www.bakerys24.com/a4?view=53	http://www.bakerys24.com/static/image/products/a4/a453.jpg	식품	과자	쿠키	null	2500
54	서울식품 미니피넛버터쿠키 (18Gx50개)	14600	http://www.bakerys24.com/a4?view=54	http://www.bakerys24.com/static/image/products/a4/a454.jpg	식품	과자	쿠키	null	2500
55	서울식품 미니 new초코칩쿠키 (18Gx50개)	14600	http://www.bakerys24.com/a4?view=55	http://www.bakerys24.com/static/image/products/a4/a455.jpg	식품	과자	쿠키	null	2500
56	서울식품 데니쉬식빵(400g × 3개입)	7700	http://www.bakerys24.com/a5?view=56	http://www.bakerys24.com/static/image/products/a5/a556.jpg	식품	가공식품	빵	null	2500
57	서울식품 단팥빵 90gx25개	17200	http://www.bakerys24.com/a5?view=57	http://www.bakerys24.com/static/image/products/a5/a557.jpg	식품	가공식품	빵	null	2500
